0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
47.2,d_19270801,28,18.2,3.1,0.7,0,0,24.9,13,0.4,0,0
56,d_19270901,35.7,19.9,7.2,1.4,0.3,0,8.2,2.3,0,0,0
42,d_19271001,38.9,24.9,6.6,2.7,0.6,0,19.1,9.8,0.1,0,0
41.8,d_19271101,50.1,34.3,10.1,4.4,1,0,8.1,1.4,0,0,0
49.6,d_19271201,46.9,30.6,6.5,1.5,0.3,0,3.5,0.5,0,0,0
41.2,d_19280101,58.9,38,9.9,2.7,0.4,0,0,0,0,0,0
65.7,d_19280201,28.5,16.5,2.6,0.5,0,0,5.8,0.4,0,0,0
47.4,d_19280301,51,33.9,7,1.9,0,0,1.5,0.2,0,0,0
31.7,d_19280401,68.1,48.3,13.8,4.8,0.2,0,0.2,0,0,0,0
58.5,d_19280501,38.4,16.7,2,0.6,0,0,3.1,0.3,0,0,0
64.3,d_19280601,34.8,19.1,1.2,0,0,0,1,0.3,0,0,0
60.2,d_19280701,25.4,9.4,0.3,0,0,0,14.4,5.3,0,0,0
47.1,d_19280801,18.7,6.6,0,0,0,0,34.2,25.6,8.3,1.9,0.4
47.5,d_19280901,22.2,14.4,0.9,0.2,0,0,30.4,13.8,1.8,0.5,0
50.9,d_19281001,20.8,9.6,0.6,0.1,0,0,28.3,16.6,2.7,0.5,0
49,d_19281101,22.5,10.6,1.6,0.4,0,0,28.6,18.6,7,1.7,0
47,d_19281201,16.6,6.3,0.8,0.3,0,0,36.4,21.2,7.5,2.5,0
50.5,d_19290101,9.4,3.2,0.6,0.2,0,0,40.1,23.9,8.3,2.8,0.3
57.1,d_19290201,8.6,3.6,0.6,0.1,0,0,34.2,16,1.1,0.1,0
53.1,d_19290301,9.5,2.4,0.7,0.1,0,0,37.5,26,8.9,1.7,0
59.6,d_19290401,13.2,7,3.3,1.8,0,0,27.1,10.9,1,0,0
43.7,d_19290501,8.1,2.9,0,0,0,0,48.2,29.5,7.2,1.2,0
51.6,d_19290601,10.3,2.6,0,0,0,0,38,19,2.9,0.5,0
61.6,d_19290701,6.1,0.2,0,0,0,0,32.3,20.2,9.9,4.8,1.3
54.1,d_19290801,22.8,8.9,0.2,0,0,0,23.2,15.6,6.6,2.4,0.3
68.9,d_19290901,12.5,3.3,0,0,0,0,18.8,10.2,1.5,0.2,0
66.2,d_19291001,14.3,4.3,0,0,0,0,19.5,10.9,0.7,0,0
60.3,d_19291101,12.3,4.4,0.2,0,0,0,27.4,16.7,3,0,0
61.2,d_19291201,19.5,5.5,0.3,0,0,0,19.4,11.4,0.9,0,0
60.8,d_19300101,17.9,7,0.8,0,0,0,21.3,11.4,1.7,0.2,0
49.4,d_19300201,49.4,28.1,7.5,3,0.5,0,1.2,0,0,0,0
61,d_19300301,36.5,15.5,2.6,0.2,0,0,2.5,0.6,0,0,0
54.6,d_19300401,39.1,17.7,4,1.3,0,0,6.2,1.8,0,0,0
74.5,d_19300501,8.7,3.2,0,0,0,0,16.7,4.6,0.3,0,0
66,d_19300601,17.6,7,0.6,0,0,0,16.3,7.6,1.6,0.1,0
